"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
10699040,1,"H L","Smits","HL","Department of Biomedical Research, Royal Tropical Institute, 1105 AZ Amsterdam, The Netherlands. H.Smits@kit.nl"
10699040,2,"M A","van der Hoorn","MA",""
10699040,3,"M G","Goris","MG",""
10699040,4,"G C","Gussenhoven","GC",""
10699040,5,"C","Yersin","C",""
10699040,6,"D M","Sasaki","DM",""
10699040,7,"W J","Terpstra","WJ",""
10699040,8,"R A","Hartskeerl","RA",""
10707682,1,"E R","Campagnolo","ER","Centers for Disease Control and Prevention, Epidemic Intelligence Service, Atlanta, GA 30333, USA."
10707682,2,"M C","Warwick","MC",""
10707682,3,"H L","Marx","HL",""
10707682,4,"R P","Cowart","RP",""
10707682,5,"H D","Donnell","HD",""
10707682,6,"M D","Bajani","MD",""
10707682,7,"S L","Bragg","SL",""
10707682,8,"J E","Esteban","JE",""
10707682,9,"D P","Alt","DP",""
10707682,10,"J W","Tappero","JW",""
10707682,11,"C A","Bolin","CA",""
10707682,12,"D A","Ashford","DA",""
10715972,1,"N B","Vanasco","NB","Instituto Nacional de Enfermedades Respiratorias E. Coni, Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) Dr. Carlos G. Malbrán, Santa Fe, Argentina. jlotters@fbcb.unl.edu.ar"
10715972,2,"G","Sequeira","G",""
10715972,3,"M L","Dalla Fontana","ML",""
10715972,4,"S","Fusco","S",""
10715972,5,"M D","Sequeira","MD",""
10715972,6,"D","Enría","D",""
10716092,1,"S","Petros","S","Universität Leipzig, Medizinische Klinik I, Abteilung für Intensivmedizin, Germany."
10716092,2,"U","Leonhardt","U",""
10716092,3,"L","Engelmann","L",""
10717918,1,"G V","Mel'nik","GV",""
10717918,2,"L D","Degtiar'","LD",""
10717918,3,"L I","Zhukova","LI",""
10722630,1,"D A","Haake","DA","Division of Infectious Diseases, Veterans Affairs Greater Los Angeles Healthcare System, Los Angeles, California 90073, USA. dhaake@ucla.edu"
10722630,2,"G","Chao","G",""
10722630,3,"R L","Zuerner","RL",""
10722630,4,"J K","Barnett","JK",""
10722630,5,"D","Barnett","D",""
10722630,6,"M","Mazel","M",""
10722630,7,"J","Matsunaga","J",""
10722630,8,"P N","Levett","PN",""
10722630,9,"C A","Bolin","CA",""
10731601,1,"F","Merien","F","Leptospira Laboratory, Institut Pasteur de Nouvelle-Calédonie, P.O. Box 61, 98845, Nouméa, New Caledonia."
10731601,2,"J","Truccolo","J",""
10731601,3,"G","Baranton","G",""
10731601,4,"P","Perolat","P",""
10738671,1,"A V","Lomar","AV","Universidade de Mogi das Cruzes, Brasil. lomar@dialdata.com.br"
10738671,2,"D","Diament","D",""
10738671,3,"J R","Torres","JR",""
10743225,1,"B","Dai","B","Department of Pathophysiology, School of Basic Medical Sciences, Chengdu."
10743225,2,"J","Xiao","J",""
10743225,3,"Z","Yan","Z",""
10743225,4,"C","Shen","C",""
10743225,5,"S","Li","S",""
10743225,6,"Z","Fang","Z",""
10747159,1,"P R","Field","PR","Centre for Infectious Diseases and Microbiology Laboratory Services, Institute of Clinical Pathology and Medical Research, Westmead, Australia."
10747159,2,"J L","Mitchell","JL",""
10747159,3,"A","Santiago","A",""
10747159,4,"D J","Dickeson","DJ",""
10747159,5,"S W","Chan","SW",""
10747159,6,"D W","Ho","DW",""
10747159,7,"A M","Murphy","AM",""
10747159,8,"A J","Cuzzubbo","AJ",""
10747159,9,"P L","Devine","PL",""
10747272,1,"H L","Smits","HL","Department of Biomedical Research, Royal Tropical Institute, Amsterdam, The Netherlands. H.Smits@kit.nl"
10747272,2,"R A","Hartskeerl","RA",""
10747272,3,"W J","Terpstra","WJ",""
10750403,1,"Z s","Nemes","Zs","Infektológia Osztály, Baranya Megyei Kórház, Pécs."
10750403,2,"Z","Péterfi","Z",""
10755239,1,"S C","Sehgal","SC","Regional Medical Research Centre (Indian Council of Medical Research), Port Blair, Andaman and Nicobar Islands."
10755239,2,"A P","Sugunan","AP",""
10755239,3,"M V","Murhekar","MV",""
10755239,4,"S","Sharma","S",""
10755239,5,"P","Vijayachari","P",""
10761734,1,"P N","Levett","PN","School of Clinical Medicine and Research, University of the West Indies, Bridgetown, Barbados."
10761734,2,"S L","Branch","SL",""
10761734,3,"C N","Edwards","CN",""
10780347,1,"L","Ciceroni","L","National Centre for Leptospirosis, Department of Bacteriology and Medical Mycology, Istituto Superiore di Sanità, Rome, Italy."
10780347,2,"E","Stepan","E",""
10780347,3,"A","Pinto","A",""
10780347,4,"P","Pizzocaro","P",""
10780347,5,"G","Dettori","G",""
10780347,6,"L","Franzin","L",""
10780347,7,"R","Lupidi","R",""
10780347,8,"S","Mansueto","S",""
10780347,9,"A","Manera","A",""
10780347,10,"A","Ioli","A",""
10780347,11,"L","Marcuccio","L",""
10780347,12,"R","Grillo","R",""
10780347,13,"S","Ciarrocchi","S",""
10780347,14,"M","Cinco","M",""
10781725,1,"M B","Heinemann","MB","Department of Preventive Veterinary Medicine and Animal Health, University of São Paulo, São Paulo, Brazil."
10781725,2,"J F","Garcia","JF",""
10781725,3,"C M","Nunes","CM",""
10781725,4,"F","Gregori","F",""
10781725,5,"Z M","Higa","ZM",""
10781725,6,"S A","Vasconcellos","SA",""
10781725,7,"L J","Richtzenhain","LJ",""
10791262,1,"S R","Rathinam","SR","Uvea Clinic, Aravind Eye Hospital, Madurai, Tamil Nadu, India."
10791262,2,"E T","Cunningham","ET",""
10796767,1,"F","Guidugli","F","Internal Medicine, Federal University of Sao Paulo, Rua Humberto I, 962 apt. 16, Sao Paulo, Sao Paulo, Brazil, 04018-033. cochrane.dmed.epm.br"
10796767,2,"A A","Castro","AA",""
10796767,3,"A N","Atallah","AN",""
10822675,1,"V I","Matiash","VI",""
10829576,1,"L","Ciceroni","L","Department of Bacteriology and Medical Mycology, Istituto Superiore di Sanità, Rome, Italy."
10829576,2,"D","Lombardo","D",""
10829576,3,"A","Pinto","A",""
10829576,4,"S","Ciarrocchi","S",""
10829576,5,"J","Simeoni","J",""
10843244,1,"N","Lerstloompleephunt","N","Department of Medicine, King Chulalongkorn Memorial Hospital and Queen Saovabha Memorial Institute Bangkok, Thailand."
10843244,2,"T","Tantawichien","T",""
10843244,3,"V","Sitprija","V",""
10855820,1,"B","Gummow","B","Department of Animal and Community Health, Faculty of Veterinary Science, University of Pretoria, Onderstepoort, South Africa."
10855820,2,"J G","Myburgh","JG",""
10855820,3,"P N","Thompson","PN",""
10855820,4,"J J","van der Lugt","JJ",""
10855820,5,"B T","Spencer","BT",""
10858186,1,"D M","Bulach","DM","Bacterial Pathogenesis Research Group, Department of Microbiology, Monash University, Clayton, Victoria 3800, Australia."
10858186,2,"T","Kalambaheti","T",""
10858186,3,"A","de la Peña-Moctezuma","A",""
10858186,4,"B","Adler","B",""
10862486,1,"V I","Matiash","VI",""
10878072,1,"N A","Faber","NA","Veterinary Medical Teaching Hospital, University of California-Davis, Davis, California 95616, USA. rblefebvre@ucdavis.edu"
10878072,2,"M","Crawford","M",""
10878072,3,"R B","LeFebvre","RB",""
10878072,4,"N C","Buyukmihci","NC",""
10878072,5,"J E","Madigan","JE",""
10878072,6,"N H","Willits","NH",""
10892435,1,"A","Vieira","A","Serviço de Doenças Infecciosas, Centro Hospitalar de Coimbra."
10892435,2,"M S","Barros","MS",""
10892435,3,"C","Valente","C",""
10892435,4,"L","Trindade","L",""
10892435,5,"M J","Faria","MJ",""
10892435,6,"F","Freitas","F",""
10893973,1,"J E","Ochoa","JE","Hospital Universitario San Vicente de Paúl, Medellín, Colombia. je8a@epm.net.co"
10893973,2,"A","Sánchez","A",""
10893973,3,"I","Ruiz","I",""
10913768,1,"A O","Coker","AO","Campylobacter Research Laboratory, Department of Medical Microbiology and Parasitology, College of Medicine, University of Lagos, Idiaraba, Nigeria. aococker@hotmail.com"
10913768,2,"R D","Isokpehi","RD",""
10913768,3,"B N","Thomas","BN",""
10913768,4,"A F","Fagbenro-Beyioku","AF",""
10913768,5,"S A","Omilabu","SA",""
10913770,1,"T J","Coleman","TJ","Hereford Public Health Laboratory and PHLS Leptospira Reference Unit, Public Health Laboratory, County Hospital, Hereford, UK."
10924790,1,"C","Sonrier","C","Ecole Nationale Vétérinaire de Nantes, Unité de Bactériologie Médicale et Moléculaire des Leptospires, Atlanpole, La Chantrerie, BP 40706, 44307, Nantes Cedex 03, France."
10924790,2,"C","Branger","C",""
10924790,3,"V","Michel","V",""
10924790,4,"N","Ruvoën-Clouet","N",""
10924790,5,"J P","Ganière","JP",""
10924790,6,"G","André-Fontaine","G",""
10930120,1,"C I","Rühl-Fehlert","CI","Bayer AG, Department of Toxicologic Pathology, Pharma-Forschungszentrum, Wuppertal, Germany."
10930120,2,"S","Brem","S",""
10930120,3,"W","Feller","W",""
10930120,4,"H","Kopp","H",""
10930120,5,"P","Meyer","P",""
10930120,6,"M","Rinke","M",""
10934496,1,"E","Kupek","E","Department of Public Health, Federal University of Santa Catarina, Brazil."
10934496,2,"M C","de Sousa Santos Faversani","MC",""
10934496,3,"J M","de Souza Philippi","JM",""
10943028,1,"L","Smythe","L","WHO/FAO Collaborating Centre for Reference and Research on Leptospirosis, Queensland, Australia. Lee_Smythe@health.qld.gov.au"
10943028,2,"M","Dohnt","M",""
10943028,3,"M","Symonds","M",""
10943028,4,"L","Barnett","L",""
10943028,5,"M","Moore","M",""
10943028,6,"D","Brookes","D",""
10943028,7,"M","Vallanjon","M",""
10943029,1,"J","Terry","J","Northern Rivers Public Health Unit, Institute of Health and Research, Lismore, New South Wales, Australia. jterr@doh.health.nsw.gov.au"
10943029,2,"M","Trent","M",""
10943029,3,"M","Bartlett","M",""
10945403,1,"D B","Coursin","DB","Department of Anesthesiology, University of Wisconsin Medical School, Madison 53792, USA. dcoursin@facstaff.wisc.edu"
10945403,2,"S J","Updike","SJ",""
10945403,3,"D G","Maki","DG",""
10947225,1,"M A","Martínez García","MA","Pneumology Service, Hospital Universitario La Fe, Valencia, Spain. med013413@nacom.es"
10947225,2,"A","de Diego Damiá","A",""
10947225,3,"R","Menéndez Villanueva","R",""
10947225,4,"J L","López Hontagas","JL",""
10948172,1,"A","Marangoni","A","Sezione di Microbiologia DMCSS, University of Bologna, Bologna 40138, Italy."
10948172,2,"R","Aldini","R",""
10948172,3,"V","Sambri","V",""
10948172,4,"M","Montagnani","M",""
10948172,5,"G","Ballardini","G",""
10948172,6,"E","Storni","E",""
10948172,7,"R","Cevenini","R",""
10958236,1,"E P","Bethlem","EP","Pulmonary Division, University of Rio de Janeiro, Brazil. epbethlem@uol.com.br"
10958236,2,"C R","Carvalho","CR",""
10969373,1,"C S","Butler","CS","Department of Anaesthesia and Intensive Care, Townsville General Hospital, Queensland."
10969373,2,"S A","Endara","SA",""
10974532,1,"S H","Lee","SH","Department of Life Science and Biotechnology, Graduate School of Biotechnology, Korea University, 136-705, Seoul, South Korea."
10974532,2,"K A","Kim","KA",""
10974532,3,"Y G","Park","YG",""
10974532,4,"I W","Seong","IW",""
10974532,5,"M J","Kim","MJ",""
10974532,6,"Y J","Lee","YJ",""
10983563,1,"R","Saravanan","R","Department of Microbiology, Dr A. L. M. Post Graduate Institute of Basic Medical Sciences, Chennai, India. saravana67@hotmail.com"
10983563,2,"P","Rajendran","P",""
10983563,3,"S P","Thyagarajan","SP",""
10983563,4,"L D","Smythe","LD",""
10983563,5,"M A","Norris","MA",""
10983563,6,"M L","Symonds","ML",""
10983563,7,"M F","Dohnt","MF",""
11015396,1,"K","Matsuo","K","Laboratory of Environmental Molecular Biology, Graduate School of Environmental Earth Science, Hokkaido University, Sapporo, Japan."
11015396,2,"E","Isogai","E",""
11015396,3,"Y","Araki","Y",""
11021183,1,"I","Steffen","I","Abteilung für Spitalhygiene, Kantonsspital Basel, Universitätskliniken."
11021183,2,"R","Frei","R",""
11021183,3,"A F","Widmer","AF",""
11034711,1,"F","Guidugli","F","Internal Medicine, Federal University of Sao Paulo, Rua Humberto I, 962 apt. 16, Sao Paulo, Sao Paulo, Brazil, 04018-033. cochrane.dmed@epm.br"
11034711,2,"A A","Castro","AA",""
11034711,3,"A N","Atallah","AN",""
11050534,1,"G","Friman","G","Infectious Diseases, Department of Medical Sciences, Uppsala University Hospital, Uppsala, Sweden. goran.friman@medsci.uu.se"
11050534,2,"L","Wesslén","L",""
11053477,1,"Chih-Wei","Yang","CW","Division of Nephrology, Chang Gung Memorial Hospital, Taipei, Taiwan, Republic of China."
11053477,2,"Mai-Szu","Wu","MS","Division of Nephrology, Chang Gung Memorial Hospital, Taipei, Taiwan, Republic of China."
11053477,3,"Ming-Jeng","Pan","MJ","Graduate Institute of Veterinary Medicine, National Taiwan University, Taipei, Taiwan, Republic of China."
11053477,4,"Jenn-Jye","Hong","JJ","Division of Nephrology, Chang Gung Memorial Hospital, Taipei, Taiwan, Republic of China."
11053477,5,"Chun-Chen","Yu","CC","Division of Nephrology, Chang Gung Memorial Hospital, Taipei, Taiwan, Republic of China."
11053477,6,"Alain","Vandewalle","A","National Institute of Health and Medical Research (INSERM), Unit 478, Faculty of Medicine, Xavier Bichat, Paris, France."
11053477,7,"Chiu-Ching","Huang","CC","Division of Nephrology, Chang Gung Memorial Hospital, Taipei, Taiwan, Republic of China."
11055660,1,"K","Holk","K","Departmeunt of Epidemiology, Statens Serum Institut, Copenhagen, Denmark."
11055660,2,"S V","Nielsen","SV",""
11055660,3,"T","Rønne","T",""
11075413,1,"E","Bernasconi","E","Dipartimento di medicina, Ospedale Regionale, Lugano. enbernasconi@tinet.ch"
11075413,2,"R","Gayer","R",""
11075413,3,"E","Busolini","E",""
11075413,4,"G","Mombelli","G",""
11105129,1,"","Tajiki","","Federal University of São Paulo Casa de Saúde Santa Marcelina."
11105129,2,"","Satie Nakama A","",""
11105129,3,"","Salomão","",""
11109322,1,"M","Bociaga-Jasik","M","Katedra i Klinika Chorób Zakaźnych, Collegium Medicum, Uniwersytetu Jagiellońskiego w Krakowie."
11109322,2,"A","Garlicki","A",""
11109322,3,"U","Kluba-Wojewoda","U",""
11127379,1,"R","Saravanan","R","Department of Microbiology, D.G. Vaishnav College, Chennai."
11127379,2,"P","Rajendran","P",""
11127379,3,"S P","Garajan","SP",""
11131876,1,"B","Mennecier","B","Service de Pneumologie, Hôpital civil, CHU, 67091 Strasbourg."
11131876,2,"S","Richter","S",""
11131876,3,"A","Dietemann","A",""
11131876,4,"G","Pauli","G",""
11139212,1,"H L","Smits","HL","Department of Biomedical Research, Royal Tropical Institute, Amsterdam, The Netherlands. H.Smits@kit.nl"
11139212,2,"C K","Eapen","CK",""
11139212,3,"S","Sugathan","S",""
11139212,4,"M","Kuriakose","M",""
11139212,5,"M H","Gasem","MH",""
11139212,6,"C","Yersin","C",""
11139212,7,"D","Sasaki","D",""
11139212,8,"B","Pujianto","B",""
11139212,9,"M","Vestering","M",""
11139212,10,"T H","Abdoel","TH",""
11139212,11,"G C","Gussenhoven","GC",""
11145268,1,"K","Matsuo","K","Laboratory of Environmental Molecular Biology, Graduate School of Environmental Earth Science, Hokkaido University, Sapporo, Japan."
11145268,2,"E","Isogai","E",""
11145268,3,"Y","Araki","Y",""
11173712,1,"E","Rassiat","E","Service d'Hépato-Gastroentérologie, CHU-Hôpital du Bocage, 2, boulevard de Lattre-de-Tassigny, BP 1542, 21034 Dijon Cedex. rassiat@hotmail.com"
11173712,2,"E","Barrière","E",""
11173712,3,"A","Minello","A",""
11173712,4,"J","Jouve","J",""
11173712,5,"P","Hillon","P",""
11189724,1,"B W","Mahy","BW","Division of Viral and Rickettsial Diseases, National Center for Infectious Diseases, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, Georgia 30333, USA."
11189724,2,"C C","Brown","CC",""
11192512,1,"Andreas M","Petersen","AM",""
11192512,2,"Kit","Boye","K","Departments of Gastrointestinal Infections, *Clinical Biochemistry and †Virology, Statens Serum Institut, Copenhagen S and ‡Department of Medical Gastroenterology C, Herlev University Hospital, University of Copenhagen, Denmark."
11192512,3,"Jens","Blom","J","Departments of Gastrointestinal Infections, *Clinical Biochemistry and †Virology, Statens Serum Institut, Copenhagen S and ‡Department of Medical Gastroenterology C, Herlev University Hospital, University of Copenhagen, Denmark."
11192512,4,"Poul","Schlichting","P","Departments of Gastrointestinal Infections, *Clinical Biochemistry and †Virology, Statens Serum Institut, Copenhagen S and ‡Department of Medical Gastroenterology C, Herlev University Hospital, University of Copenhagen, Denmark."
11192512,5,"Karen A","Krogfelt","KA",""
11209251,1,"R","Martínez Sánchez","R","Instituto de Medicina Tropica Pedro Kourí, Ciudad de La Habana, Cuba."
11209251,2,"A","Pérez Sierra","A",""
11209251,3,"M","Baró Suárez","M",""
11209251,4,"A M","Alvarez","AM",""
11209251,5,"J","Menéndez Hernández","J",""
11209251,6,"M","Díaz González","M",""
11209251,7,"R","Cruz de la Paz","R",""
11209251,8,"G","de los Reyes","G",""
11209251,9,"B","Montoya Batista","B",""
11209251,10,"G","Sierra González","G",""
11209251,11,"M","Armesto del Río","M",""
11209251,12,"A","Saltarén Cobas","A",""
11209251,13,"O","Sabournin Ramos","O",""
11210352,1,"G V","Mel'nik","GV",""
11210352,2,"L D","Degtiar'","LD",""
11211549,1,"M A","St John","MA","Department of Paediatrics, Queen Elizabeth Hospital, Barbados. cedwards@sunbeach.net"
11211549,2,"S","King","S",""
11211549,3,"S E","Bullen","SE",""
11211549,4,"J","Cherian","J",""
11211549,5,"P N","Levett","PN",""
11213566,1,"P A","Kager","PA","Academisch Medisch Centrum, afd. Inwendige Geneeskunde, onder-afd. Infectieziekten, Tropische Geneeskunde en Aids, Meibergdreef 9, 1105 AZ Amsterdam. p.a.kager@amc.uva.nl"
11213566,2,"E C","van Gorp","EC",""
11213566,3,"P P","van Thiel","PP",""
11238220,1,"P N","Levett","PN","School of Clinical Medicine & Research, University of the West Indies, Bridgetown, Barbados. levett@sunbeach.net"
11238220,2,"S L","Branch","SL",""
11238220,3,"C U","Whittington","CU",""
11238220,4,"C N","Edwards","CN",""
11238220,5,"H","Paxton","H",""
11251907,1,"H L","Smits","HL","Department of Biomedical Research, Royal Tropical Institute, Amsterdam, The Netherlands. H.Smits@kit.nl"
11251907,2,"H D","Chee","HD",""
11251907,3,"C K","Eapen","CK",""
11251907,4,"M","Kuriakose","M",""
11251907,5,"S","Sugathan","S",""
11251907,6,"M H","Gasem","MH",""
11251907,7,"C","Yersin","C",""
11251907,8,"D","Sakasi","D",""
11251907,9,"R F","Lai-A-Fat","RF",""
11251907,10,"R A","Hartskeerl","RA",""
11251907,11,"B","Liesdek","B",""
11251907,12,"T H","Abdoel","TH",""
11251907,13,"M G","Goris","MG",""
11251907,14,"G C","Gussenhoven","GC",""
11256343,1,"W Y","Sekhar","WY","Department of Medical Microbiology, Faculty of Medicine, University Malaya, 50603 Kuala Lumpur, Malaysia."
11256343,2,"E H","Soo","EH",""
11256343,3,"V","Gopalakrishnan","V",""
11256343,4,"S","Devi","S",""
11260779,1,"C","Barcellos","C","Department of Health Information Research, DIS/CICT/Fiocruz, Fundação Oswaldo Cruz, Brazil. xris@fiocruz.br"
11260779,2,"P C","Sabroza","PC",""
11270614,1,"T","Masuzawa","T","Department of Microbiology, School of Pharmaceutical Sciences, University of Shizuoka, Shizuoka, Japan. masuzawa@u-shizuoka-ken.ac.jp"
11270614,2,"L A","Dancel","LA",""
11270614,3,"M","Miyake","M",""
11270614,4,"Y","Yanagihara","Y",""
11272443,1,"S J","Manea","SJ","Hawaii Department of Health, Communicable Disease Division, P.O. Box 3378, Honolulu, HI 96801-3378, U.S.A."
11272443,2,"D M","Sasaki","DM",""
11272443,3,"J K","Ikeda","JK",""
11272443,4,"P P","Bruno","PP",""
11276206,1,"C","Werts","C","Department of Immunology, The Scripps Research Institute, La Jolla, CA 92037, USA."
11276206,2,"R I","Tapping","RI",""
11276206,3,"J C","Mathison","JC",""
11276206,4,"T H","Chuang","TH",""
11276206,5,"V","Kravchenko","V",""
11276206,6,"I","Saint Girons","I",""
11276206,7,"D A","Haake","DA",""
11276206,8,"P J","Godowski","PJ",""
11276206,9,"F","Hayashi","F",""
11276206,10,"A","Ozinsky","A",""
11276206,11,"D M","Underhill","DM",""
11276206,12,"C J","Kirschning","CJ",""
11276206,13,"H","Wagner","H",""
11276206,14,"A","Aderem","A",""
11276206,15,"P S","Tobias","PS",""
11276206,16,"R J","Ulevitch","RJ",""
11289012,1,"M","Hatta","M","Department of Medical Microbiology, Faculty of Medicine, Hasanuddin University, Makassar, Indonesia. hattaram@indosat.net.id"
11289012,2,"H L","Smits","HL",""
11289012,3,"G C","Gussenhoven","GC",""
11289012,4,"J","Gooskens","J",""
11292640,1,"P N","Levett","PN","University of the West Indies, School of Clinical Medicine & Research, and Leptospira Laboratory, Ministry of Health, Barbados. levett@sunbeach.net"
11298286,1,"M","Picardeau","M","Unité de Bactériologie Moléculaire et Médicale, Institut Pasteur, 28 rue du docteur Roux, 75724 Paris Cedex 15, France. mpicard@pasteur.fr"
11298286,2,"A","Brenot","A",""
11298286,3,"I","Saint Girons","I",""
11321961,1,"Y","Zhao","Y","Shanxi Sanitary and Epidemic Prevention Station, Taiyuan 030012, China."
11346304,1,"R","Murgia","R","Department of Biomedical Science, University of Trieste, Italy."
11346304,2,"M","Cinco","M",""
11349531,1,"R","Vanaja","R","Institute of Physiology and Experimental Medicine, Madras Medical College, Chennai 600 003, India."
11349531,2,"S","Ratnam","S",""
11349531,3,"K P","Vijayalakshmi","KP",""
11379484,1,"B","Dzelalija","B","Department of Infectious Diseases, General Hospital, Zadar, Croatia. boris.dzelalija@zd.tel.hr"
11379484,2,"E","Ruzić","E",""
11379484,3,"D","Kasun","D",""
11387959,1,"G","Xiao","G","Department of Pathophysiology, School of Basic Medical Sciences, WCUMS, Chengdu 610041."
11387959,2,"N","Huang","N",""
11391280,1,"D R","Guay","DR","Institute for the Study of Geriatric Pharmacotherapy, University of Minnesota, College of Pharmacy, Minneapolis, 55455, USA."
11392987,1,"M F","Weber","MF","Gezondheidsdienst voor Dieren, Postbus 361, 9200 AJ Drachten. m.weber@gdvdieren.nl"
11392987,2,"J","Verhoeff","J",""
11406751,1,"Y","Kobayashi","Y","First Department of Internal Medicine, School of Medicine, Ehime University, Ehime, Japan. yu-eins@fc4.so-net.ne.jp"
11407004,1,"R","Sharma","R","Department of Microbiology, Defence Reaserch and Establishment, Gwalior, M.P."
11407004,2,"U","Tuteja","U",""
11407004,3,"H V","Batra","HV",""
11426266,1,"C","Barcellos","C","Departamento de Informações em Saúde, Centro de Informação Científica e Tecnológica, Fundação Oswaldo Cruz, Rio de Janeiro, RJ, 21045-900, Brasil. xris@fiocruz.br"
11426266,2,"P C","Sabroza","PC",""
11447174,1,"H","Guerreiro","H","Gonçalo Moniz Research Center, Oswaldo Cruz Foundation, Brazilian Ministry of Health, 40295-001, Brazil."
11447174,2,"J","Croda","J",""
11447174,3,"B","Flannery","B",""
11447174,4,"M","Mazel","M",""
11447174,5,"J","Matsunaga","J",""
11447174,6,"M","Galvão Reis","M",""
11447174,7,"P N","Levett","PN",""
11447174,8,"A I","Ko","AI",""
11447174,9,"D A","Haake","DA",""
11455495,1,"Y","Kobayashi","Y","First Department of Internal Medicine, School of Medicine, Ehime University, Ehime, Japan. yu-eins@fc4.so-net.ne.jp"
11477534,1,"S","Jones","S","Division of Infectious Disease, Mount Sinai School of Medicine, New York, NY 10029, USA. joness01@doc.mssm.edu"
11477534,2,"T","Kim","T",""
